lon,lat,xp,yp,Product,Yld Vol(Dry)(bu/ac),Count,Year,G,R,NIR,SIR1,SIR2,TIR1,TIR2,NDVI,NDWI2,NDWI1
-,-,-,-,['SOYBEANS'],4032.83,65,2016,8407,7464,19653,13473,9119,27287,24934,0.4494966257329351,0.400784034212402,0.36611983873210063
-,-,-,-,['CORN'],20310.409999999996,93,2016,7914,8073,10412,13073,10154,27345,25016,0.12653502840140654,0.13630906908217832,0.012544977146747058
-,-,-,-,['CORN'],22225.319999999992,93,2016,8082,7054,17874,12113,8175,27246,24970,0.43405006418485237,0.37725381414701803,0.3723367499712081
-,-,-,-,['SOYBEANS'],6361.324999999997,139,2016,10764,12164,17286,19932,14681,28365,25903,0.1739219015280136,0.23251336898395722,0.08149028685832264
-,-,-,-,['SOYBEANS'],3536.3000000000015,64,2016,8026,8186,10702,13317,10539,27448,25102,0.13320626853028378,0.14288765484835542,0.007673838331528647
-,-,-,-,['CORN'],20512.51000000001,107,2016,8524,8526,12456,13274,10278,27684,25316,0.18730340291678582,0.18741658722592947,0.0958036421219319
-,-,-,-,['CORN'],23254.67,106,2016,8041,8278,10829,13202,10324,27339,24997,0.1335112785889988,0.14774774774774774,0.023873682220016075
-,-,-,-,['SOYBEANS'],2844.38,53,2016,7884,7951,10898,12678,9797,27331,25021,0.15634781686031088,0.16047279309977638,0.05320125634211162
-,-,-,-,['CORN'],22715.01000000001,100,2016,7877,7909,10873,12560,9577,27201,24881,0.15781066979022468,0.15978666666666666,0.06337408312958435
-,-,-,-,['CORN'],25188.159999999993,108,2016,7936,8057,10398,12221,9774,27211,24890,0.12684909238688702,0.13428602596269226,0.030933967876264127
-,-,-,-,['CORN'],24559.399999999994,113,2016,8428,7210,20269,12078,8288,27515,25160,0.47523563448451545,0.4126215283827578,0.4195468711699408
-,-,-,-,['SOYBEANS'],5785.609999999999,95,2016,8526,7085,22603,12324,8259,27223,24952,0.5227027755322016,0.45221497638857655,0.4647786922428877
-,-,-,-,['CORN'],13888.479999999996,64,2016,8416,7079,21379,12224,8249,27517,25113,0.5024949047719446,0.43507299882530626,0.44316187390306466
-,-,-,-,['CORN'],21648.949999999997,96,2016,8491,7218,20280,12001,8257,27558,25144,0.47501636482653287,0.40975287616002226,0.42131268178154674
-,-,-,-,['CORN'],23484.490000000013,107,2016,8536,7285,20991,12299,8348,27619,25209,0.48472202574621587,0.42181731974125375,0.4309281161593783
-,-,-,-,['CORN'],19275.919999999995,87,2016,8492,7196,20706,12192,8317,27574,25151,0.48419468138484695,0.4183163230358244,0.42686834579471455
-,-,-,-,['SOYBEANS'],5742.97,84,2016,8656,7391,22051,12728,8653,27733,25384,0.4979281298824808,0.43621975445338196,0.43636008337675875
-,-,-,-,['SOYBEANS'],3749.0500000000006,65,2016,7825,7848,10519,12511,9660,27420,25044,0.14542385800620677,0.14686000872219798,0.04256900738391397
-,-,-,-,['CORN'],22367.22999999999,102,2016,8525,7213,21439,12462,8402,27581,25182,0.4965098422448695,0.4309838472834068,0.4368821420193693
-,-,-,-,['CORN'],21937.560000000005,121,2016,8537,8010,14881,12841,9681,27594,25248,0.30016163557730113,0.27090272440003416,0.21170914420649783
-,-,-,-,['CORN'],22625.84,118,2016,8046,8048,11533,12359,9570,27224,24869,0.17797865277564986,0.17809898360488277,0.09301994977017486
-,-,-,-,['SOYBEANS'],5715.940000000003,89,2016,8823,7912,19187,12874,9257,27489,25173,0.4160670135429352,0.3700107104605498,0.3491070172971453
-,-,-,-,['SOYBEANS'],4925.73,96,2016,8401,6956,24180,12604,8305,27234,24948,0.553186022610483,0.48430066603235017,0.48868708634754504
-,-,-,-,['CORN'],23169.71000000001,126,2016,8640,7213,22004,12337,8261,27372,25008,0.5062463634185577,0.43610494713483877,0.45408888154634064
-,-,-,-,['CORN'],13980.109999999999,95,2016,8085,8403,10911,13571,10561,27293,24971,0.12985399192295743,0.14876816171825646,0.016300298062593144
